"index","row_from_south","col_from_west","x_offset_blocks","z_offset_blocks"
"1","0","0","0","14544"
"2","0","1","1861","14544"
"3","0","2","3722","14544"
"4","0","3","5583","14544"
"5","0","4","7444","14544"
"6","0","5","9305","14544"
"7","0","6","11166","14544"
"8","0","7","13027","14544"
"9","0","8","14888","14544"
"10","0","9","16749","14544"
"11","1","0","0","12928"
"12","1","1","1861","12928"
"13","1","2","3722","12928"
"14","1","3","5583","12928"
"15","1","4","7444","12928"
"16","1","5","9305","12928"
"17","1","6","11166","12928"
"18","1","7","13027","12928"
"19","1","8","14888","12928"
"20","1","9","16749","12928"
"21","2","0","0","11312"
"22","2","1","1861","11312"
"23","2","2","3722","11312"
"24","2","3","5583","11312"
"25","2","4","7444","11312"
"26","2","5","9305","11312"
"27","2","6","11166","11312"
"28","2","7","13027","11312"
"29","2","8","14888","11312"
"30","2","9","16749","11312"
"31","3","0","0","9696"
"32","3","1","1861","9696"
"33","3","2","3722","9696"
"34","3","3","5583","9696"
"35","3","4","7444","9696"
"36","3","5","9305","9696"
"37","3","6","11166","9696"
"38","3","7","13027","9696"
"39","3","8","14888","9696"
"40","3","9","16749","9696"
"41","4","0","0","8080"
"42","4","1","1861","8080"
"43","4","2","3722","8080"
"44","4","3","5583","8080"
"45","4","4","7444","8080"
"46","4","5","9305","8080"
"47","4","6","11166","8080"
"48","4","7","13027","8080"
"49","4","8","14888","8080"
"50","4","9","16749","8080"
"51","5","0","0","6464"
"52","5","1","1861","6464"
"53","5","2","3722","6464"
"54","5","3","5583","6464"
"55","5","4","7444","6464"
"56","5","5","9305","6464"
"57","5","6","11166","6464"
"58","5","7","13027","6464"
"59","5","8","14888","6464"
"60","5","9","16749","6464"
"61","6","0","0","4848"
"62","6","1","1861","4848"
"63","6","2","3722","4848"
"64","6","3","5583","4848"
"65","6","4","7444","4848"
"66","6","5","9305","4848"
"67","6","6","11166","4848"
"68","6","7","13027","4848"
"69","6","8","14888","4848"
"70","6","9","16749","4848"
"71","7","0","0","3232"
"72","7","1","1861","3232"
"73","7","2","3722","3232"
"74","7","3","5583","3232"
"75","7","4","7444","3232"
"76","7","5","9305","3232"
"77","7","6","11166","3232"
"78","7","7","13027","3232"
"79","7","8","14888","3232"
"80","7","9","16749","3232"
"81","8","0","0","1616"
"82","8","1","1861","1616"
"83","8","2","3722","1616"
"84","8","3","5583","1616"
"85","8","4","7444","1616"
"86","8","5","9305","1616"
"87","8","6","11166","1616"
"88","8","7","13027","1616"
"89","8","8","14888","1616"
"90","8","9","16749","1616"
"91","9","0","0","0"
"92","9","1","1861","0"
"93","9","2","3722","0"
"94","9","3","5583","0"
"95","9","4","7444","0"
"96","9","5","9305","0"
"97","9","6","11166","0"
"98","9","7","13027","0"
"99","9","8","14888","0"
"100","9","9","16749","0"
