"index","x_offset_blocks","z_offset_blocks","x_offset_chunks","z_offset_chunks"
"1","0","14544","0","909"
"2","1861","14544","116","909"
"3","3722","14544","232","909"
"4","5583","14544","348","909"
"5","7444","14544","465","909"
"6","9305","14544","581","909"
"7","11166","14544","697","909"
"8","13027","14544","814","909"
"9","14888","14544","930","909"
"10","16749","14544","1046","909"
"11","0","12928","0","808"
"12","1861","12928","116","808"
"13","3722","12928","232","808"
"14","5583","12928","348","808"
"15","7444","12928","465","808"
"16","9305","12928","581","808"
"17","11166","12928","697","808"
"18","13027","12928","814","808"
"19","14888","12928","930","808"
"20","16749","12928","1046","808"
"21","0","11312","0","707"
"22","1861","11312","116","707"
"23","3722","11312","232","707"
"24","5583","11312","348","707"
"25","7444","11312","465","707"
"26","9305","11312","581","707"
"27","11166","11312","697","707"
"28","13027","11312","814","707"
"29","14888","11312","930","707"
"30","16749","11312","1046","707"
"31","0","9696","0","606"
"32","1861","9696","116","606"
"33","3722","9696","232","606"
"34","5583","9696","348","606"
"35","7444","9696","465","606"
"36","9305","9696","581","606"
"37","11166","9696","697","606"
"38","13027","9696","814","606"
"39","14888","9696","930","606"
"40","16749","9696","1046","606"
"41","0","8080","0","505"
"42","1861","8080","116","505"
"43","3722","8080","232","505"
"44","5583","8080","348","505"
"45","7444","8080","465","505"
"46","9305","8080","581","505"
"47","11166","8080","697","505"
"48","13027","8080","814","505"
"49","14888","8080","930","505"
"50","16749","8080","1046","505"
"51","0","6464","0","404"
"52","1861","6464","116","404"
"53","3722","6464","232","404"
"54","5583","6464","348","404"
"55","7444","6464","465","404"
"56","9305","6464","581","404"
"57","11166","6464","697","404"
"58","13027","6464","814","404"
"59","14888","6464","930","404"
"60","16749","6464","1046","404"
"61","0","4848","0","303"
"62","1861","4848","116","303"
"63","3722","4848","232","303"
"64","5583","4848","348","303"
"65","7444","4848","465","303"
"66","9305","4848","581","303"
"67","11166","4848","697","303"
"68","13027","4848","814","303"
"69","14888","4848","930","303"
"70","16749","4848","1046","303"
"71","0","3232","0","202"
"72","1861","3232","116","202"
"73","3722","3232","232","202"
"74","5583","3232","348","202"
"75","7444","3232","465","202"
"76","9305","3232","581","202"
"77","11166","3232","697","202"
"78","13027","3232","814","202"
"79","14888","3232","930","202"
"80","16749","3232","1046","202"
"81","0","1616","0","101"
"82","1861","1616","116","101"
"83","3722","1616","232","101"
"84","5583","1616","348","101"
"85","7444","1616","465","101"
"86","9305","1616","581","101"
"87","11166","1616","697","101"
"88","13027","1616","814","101"
"89","14888","1616","930","101"
"90","16749","1616","1046","101"
"91","0","0","0","0"
"92","1861","0","116","0"
"93","3722","0","232","0"
"94","5583","0","348","0"
"95","7444","0","465","0"
"96","9305","0","581","0"
"97","11166","0","697","0"
"98","13027","0","814","0"
"99","14888","0","930","0"
"100","16749","0","1046","0"
